name;url;salary;experience
Аналитик данных (Data Analyst);https://api.hh.ru/vacancies/124265987?host=hh.ru;Не указана;От 1 года до 3 лет
Инженер по ручному тестированию;https://api.hh.ru/vacancies/124477766?host=hh.ru;Не указана;От 2 до 6 лет
